rgi_id,glac_name,cenlon,cenlat,area_km2,mean_dh,median_dh,std_dh,n_pixels,dh_rate,region
RGI2000-v7.0-G-15-07604,,88.00429849420371,28.0262125,1.286353329110063,-1.9754717051456026,-1.5107421875,1.4735997915267944,1697,-0.24693396314320032,Sikkim
RGI2000-v7.0-G-15-07605,,88.01534464383695,28.026082000000002,0.903194640849295,-5.138322353363037,-5.09326171875,4.809765338897705,1215,-0.6422902941703796,Sikkim
RGI2000-v7.0-G-15-07606,,88.02600050229921,28.0189315,3.263789037960189,-2.364396333694458,-2.5302734375,6.26823616027832,4131,-0.29554954171180725,Sikkim
RGI2000-v7.0-G-15-07607,,88.03911740292034,28.022162,0.035597055123674,-3.8034708499908447,-8.17724609375,21.291790008544922,61,-0.4754338562488556,Sikkim
RGI2000-v7.0-G-15-07608,,88.03639228503184,28.028484499999998,0.300987201097578,-2.592670440673828,-2.282958984375,5.438650131225586,446,-0.3240838050842285,Sikkim
RGI2000-v7.0-G-15-07609,,88.04063292569742,28.0335665,0.047927574963221,4.9897284507751465,2.39404296875,8.669293403625488,83,0.6237160563468933,Sikkim
RGI2000-v7.0-G-15-07610,,88.03725948290598,28.034864,0.381530306078954,2.116569995880127,0.24853515625,10.665425300598145,506,0.26457124948501587,Sikkim
RGI2000-v7.0-G-15-07611,,88.0412628347695,28.0413965,0.086207714459839,-4.835822105407715,-3.10107421875,5.034550189971924,131,-0.6044777631759644,Sikkim
RGI2000-v7.0-G-15-07612,Bangxia Glacier,88.05065496680328,28.0272205,3.499705514987642,-1.5285167694091797,-2.45068359375,6.584158897399902,4469,-0.19106459617614746,Sikkim
RGI2000-v7.0-G-15-07613,,88.06170707749934,28.038745499999997,1.779813361096599,-3.086791515350342,-3.048828125,7.019739151000977,2321,-0.3858489394187927,Sikkim
RGI2000-v7.0-G-15-07614,,88.06825325850785,28.0442015,0.240700151680371,-2.0926225185394287,-1.656005859375,2.1095407009124756,330,-0.2615778148174286,Sikkim
RGI2000-v7.0-G-15-07615,,88.06462037763976,28.058852,0.288145698013529,-3.4585061073303223,-2.63623046875,3.5344319343566895,393,-0.4323132634162903,Sikkim
RGI2000-v7.0-G-15-07616,,88.09745903085107,28.051090000000002,0.050765134160358,-0.41806286573410034,-0.22509765625,1.4258551597595215,83,-0.05225785821676254,Sikkim
RGI2000-v7.0-G-15-07617,,88.09940657288423,28.043494000000003,0.263089275897672,-2.6436398029327393,-2.31396484375,2.720083475112915,361,-0.3304549753665924,Sikkim
RGI2000-v7.0-G-15-07618,,88.08948065408549,28.03767,0.761495617852881,-3.8058650493621826,-3.80078125,3.237661361694336,999,-0.4757331311702728,Sikkim
RGI2000-v7.0-G-15-07619,,88.09963384609628,28.032182,0.962529225952095,-2.584806203842163,-2.1396484375,4.950784206390381,1237,-0.3231007754802704,Sikkim
RGI2000-v7.0-G-15-07620,,88.09114786886366,28.02197,0.106088449467674,0.7012373805046082,0.614013671875,5.286011219024658,164,0.08765467256307602,Sikkim
RGI2000-v7.0-G-15-07621,,88.09213901000001,28.019767,0.157857446661541,1.2262084484100342,-0.277099609375,11.822625160217285,240,0.15327605605125427,Sikkim
RGI2000-v7.0-G-15-07622,,88.09943748006182,28.0109905,4.341995325664041,-1.8150341073757708,1.45068359375,3.2599844932556152,5562,-0.22687926342197134,Sikkim
RGI2000-v7.0-G-15-07623,,88.11718712442664,28.011654,2.348348921749869,-1.9746621788983558,0.34521484375,5.055768966674805,3144,-0.24683277236229448,Sikkim
RGI2000-v7.0-G-15-07624,,88.12994653060707,28.006801,1.994403044637825,-1.7845512467975528,0.163818359375,2.2377493381500244,2602,-0.2230689058496941,Sikkim
RGI2000-v7.0-G-15-07625,,88.1321120307722,28.0186135,0.67616791214553,-2.443294048309326,-2.365478515625,2.321531057357788,912,-0.30541175603866577,Sikkim
RGI2000-v7.0-G-15-07626,,88.14076259468843,28.0274535,0.836002117245083,-4.315497875213623,-3.837890625,3.927443265914917,1135,-0.5394372344017029,Sikkim
RGI2000-v7.0-G-15-07627,,88.1313479849495,28.030381499999997,2.047087352074355,-1.7698172330856323,-1.234375,2.7563281059265137,2587,-0.22122715413570404,Sikkim
RGI2000-v7.0-G-15-07628,,88.15847025669798,28.014497,0.506208452221321,-0.23073218762874603,-0.22216796875,6.331244945526123,721,-0.028841523453593254,Sikkim
RGI2000-v7.0-G-15-07629,,88.16458272854078,28.013527,0.145319202949058,0.23975063860416412,-1.25048828125,5.761412143707275,215,0.029968829825520515,Sikkim
RGI2000-v7.0-G-15-07630,,88.16159536656782,28.008509500000002,0.207886888244335,-1.5870873928070068,-0.80029296875,3.9009337425231934,293,-0.19838592410087585,Sikkim
RGI2000-v7.0-G-15-07631,,88.15724412063808,28.0021825,0.142003518543083,-0.7975358644436146,0.52001953125,2.54978609085083,232,-0.09969198305545182,Sikkim
RGI2000-v7.0-G-15-07632,,88.15859667967331,27.997574999999998,0.531747520463097,-2.2216650345823266,-1.8408203125,5.002689838409424,728,-0.2777081293227908,Sikkim
RGI2000-v7.0-G-15-07633,,88.16084121644911,27.984628,0.671266106921724,-3.0803136825561523,-3.34130859375,4.7629852294921875,889,-0.38503921031951904,Sikkim
RGI2000-v7.0-G-15-07634,,88.15960713757254,27.9703295,5.358393865633941,-1.4221291542053223,-0.83203125,6.382663249969482,6675,-0.17776614427566528,Sikkim
RGI2000-v7.0-G-15-07635,,88.17892909675733,27.9702325,4.334349699431305,-0.9156520962715149,-0.904296875,9.95538330078125,5422,-0.11445651203393936,Sikkim
