Region,Glaciers,Total Area (km²),Mean Δh (m),Std Δh (m),Median Δh (m),Rate (m/yr)
Sikkim,812,1024.9224211222695,-0.3702738724142787,6.887454501193276,-1.7500262260437012,-0.04628423405178484
Bhutan,1887,1630.185374141242,-1.4538846459337147,8.522572693613991,-2.9488401412963867,-0.18173558074171434
Arunachal Pradesh,3774,2746.332947910215,-0.9614586630170102,11.518812801072112,-3.3372843265533447,-0.12018233287712628
TOTAL/OVERALL,6473,5401.440743173726,-1.0308493288279794,10.225992043701119,-2.9514825344085693,-0.12885616610349743
